Month,Miles Traveled,Passengers,Average Operational Vehicles,Service Days
Jan-85,67594,205521,54.59,20
Feb-85,81431,268682,53.9,23
Mar-85,75122,222300,58.13,23
Apr-85,91214,281254,55.6,25
May-85,42992,96018,42.82,23
Jun-85,25926,33564,34.7,25
Jul-85,34221,54142,32.02,26
Aug-85,42252,129977,45.4,18
Sep-85,108930,357689,55.6,24
Oct-85,108354,352815,56.19,27
Nov-85,77780,239902,56.32,20
Dec-85,67487,184492,54.44,19
Jan-86,65071,202026,56.01,19
Feb-86,85651,276199,51.68,23
Mar-86,62812,193562,53.43,19
Apr-86,90078,279063,62.51,26
May-86,37445,74741,45.63,22
Jun-86,27280,30054,37.43,25
Jul-86,34062,49561,35.53,25
Aug-86,42546,115403,45.16,18
Sep-86,101879,319090,53.35,25
Oct-86,105541,320148,60.35,27
Nov-86,63669,183083,59.48,18
Dec-86,55952,155382,55.24,18
Jan-87,64590,191555,56.38,21
Feb-87,76806,241425,55.71,23
Mar-87,64790,201793,57.51,20
Apr-87,79108,226668,58.78,24
May-87,33903,60798,44.19,21
Jun-87,27146,25889,39.05,26
Jul-87,34285,48461,34.93,25
Aug-87,47769,139241,47.81,21
Sep-87,104019,347573,57.46,25
Oct-87,100840,334047,58.31,27
Nov-87,97994,232220,56.81,19
Dec-87,54509,164197,55.32,17
Jan-88,67635,207497,54.79,22
Feb-88,86551,287265,53.72,25
Mar-88,74451,231807,55.48,25
Apr-88,75512,237595,52.87,24
May-88,29231,50355,33.46,17
Jun-88,28210,25318,23.37,26
Jul-88,31915,51369,27.17,23
Aug-88,63029,179281,51.27,23
Sep-88,103564,352402,57.74,25
Oct-88,104575,340851,60.35,26
Nov-88,66076,204419,58.29,18
Dec-88,47602,131275,58.12,15
Jan-89,77236,242012,58.21,23
Feb-89,85402,274371,57.33,24
Mar-89,64061,200314,58.3,18
Apr-89,79466,250345,60.16,25
May-89,32710,53521,41.08,21
Jun-89,25309,24068,33.23,26
Jul-89,33546,56723,36.21,25
Aug-89,68558,218038,49.28,23
Sep-89,108415,357792,60.55,25
Oct-89,104258,350533,57.86,26
Nov-89,77220,245848,60.71,20
Dec-89,41644,116084,54.48,14
Jan-90,80731,263073,59.93,24
Feb-90,84161,287721,60.12,24
Mar-90,75411,230011,59.49,25
Apr-90,79277,247351,58.67,23
May-90,23730,43877,40.68,14
Jun-90,28030,27827,35.79,26
Jul-90,33128,54355,35.32,25
Aug-90,73947,222169,49.96,24
Sep-90,97301,332775,59.2,24
Oct-90,104437,355334,62.2,27
Nov-90,68787,225564,58.28,19
Dec-90,41366,108236,54.55,15
Jan-91,84997,278720,58.95,25
Feb-91,85519,272757,57.72,24
Mar-91,56646,177308,60.84,18
Apr-91,79374,247837,56.63,26
May-91,22336,36895,32.48,16
Jun-91,26537,28151,29.96,25
Jul-91,35542,65181,43.94,26
Aug-91,46508,152931,51.21,18
Sep-91,100571,361892,54.77,24
Oct-91,108112,381826,111.21,27
Nov-91,70642,244115,53.9,19
Dec-91,60875,176953,52.97,18
Jan-92,66805,218558,55.49,18
Feb-92,90076,302721,57.43,25
Mar-92,68478,218311,59.32,20
Apr-92,81206,236934,59.38,24
May-92,34612,63838,41.02,21
Jun-92,27358,32199,34.44,26
Jul-92,36189,61552,38.55,25
Aug-92,50491,159407,58.27,22
Sep-92,104133,357753,58.81,25
Oct-92,107983,355819,60.34,27
Nov-92,63963,201681,61.26,18
Dec-92,51989,145653,61.51,17
Jan-93,67230,210885,59.13,21
Feb-93,84609,251903,61.84,24
Mar-93,68990,205034,59.53,20
Apr-93,77939,221381,59.21,24
May-93,31359,49274,37.96,21
Jun-93,28581,32529,34.03,26
Jul-93,33279,52499,32.64,26
Aug-93,59578,168110,55.66,23
Sep-93,98398,319868,56.5,25
Oct-93,94717,290166,59,26
Nov-93,71105,209776,59.06,20
Dec-93,44748,112628,59.55,16
Jan-94,46520,144480,55.6,17
Feb-94,73400,213203,55.84,24
Mar-94,59179,165028,56.22,20
Apr-94,68936,187752,56.65,24
May-94,21828,35047,42.08,13
Jun-94,27615,31011,37.01,26
Jul-94,33371,55278,33.76,25
Aug-94,62407,186156,99.5,26
Sep-94,95157,319628,50.85,25
Oct-94,88624,290083,50.11,26
Nov-94,63509,188386,52.88,20
Dec-94,41377,102247,53.74,15
Jan-95,70141,203930,56.37,23
Feb-95,78239,208814,54.43,24
Mar-95,63094,173587,54.03,20
Apr-95,64090,170188,55.8,23
May-95,22058,33817,32.75,13
Jun-95,28982,32374,25.81,26
Jul-95,34999,59404,38.68,25
Aug-95,60059,181522,43.32,23
Sep-95,90712,282213,51.6,25
Oct-95,87994,267106,48.67,26
Nov-95,62506,173324,48.41,19
Dec-95,37377,83238,50.06,14
Jan-96,60170,175467,49.67,21
Feb-96,74126,194401,49.82,25
Mar-96,53205,132291,51.8,20
Apr-96,65434,164233,51.25,24
May-96,24385,26451,36.63,16
Jun-96,28706,25190,37.27,25
Jul-96,35846,61699,40.43,26
Aug-96,64769,200448,52.29,25
Sep-96,89907,291181,51.77,24
Oct-96,98348,299055,111.05,27
Nov-96,57688,160321,61.05,18
Dec-96,32867,75267,57.03,12
Jan-97,74912,192220,56.92,25
Feb-97,61158,169675,60.42,24
Mar-97,58401,128041,59.65,18
Apr-97,67016,161017,59.75,26
May-97,18068,22174,45.23,16
Jun-97,25706,32532,43.56,25
Jul-97,34040,49003,46.32,26
Aug-97,65692,189870,56.24,24
Sep-97,87483,269236,57.77,25
Oct-97,92574,268402,55.02,27
Nov-97,53608,155052,51.54,19
Dec-97,31917,70938,53.19,12
Jan-98,56360,144172,52.47,21
Feb-98,69980,180221,51.46,24
Mar-98,53149,132276,57.22,19
Apr-98,63334,152479,47.12,25
May-98,15222,24557,26,8
Jun-98,0,0,0,0
Jul-98,34710,48470,33.38,26
Aug-98,35650,119200,46.74,12
Sep-98,75887,297684,47.62,25
Oct-98,82722,261988,54.86,27
Nov-98,57862,164565,53.67,18
Dec-98,47990,112114,57.47,17
Jan-99,58963,150388,51.33,21
Feb-99,72624,182817,51.44,24
Mar-99,61692,149298,54.97,21
Apr-99,69181,161073,53.61,24
May-99,25924,32955,38.23,17
Jun-99,28711,30207,35.69,26
Jul-99,35300,79748,40.63,26
Aug-99,52359,158484,51.48,21
Sep-99,86110,290114,54.93,25
Oct-99,90921,280410,54.47,26
Nov-99,69215,215896,53.69,20
Dec-99,43363,105714,51.67,16
Jan-00,64841,168536,56.41,22
Feb-00,77824,206379,56.4,25
Mar-00,64386,161699,56.09,21
Apr-00,66684,163225,52.98,23
May-00,22871,61934,44.46,15
Jun-00,28563,26667,46.72,26
Jul-00,34488,55193,217.15,25
Aug-00,56346,175843,46.68,23
Sep-00,90035,299486,45.55,25
Oct-00,92352,292302,50.49,26
Nov-00,64062,186532,51.35,19
Dec-00,36931,88556,48.3,14
Jan-01,101988,191153,46.86,24
Feb-01,70524,189947,49.11,24
Mar-01,39092,109613,53.32,20
Apr-01,68095,165555,46.69,24
May-01,21727,28449,44.53,15
Jun-01,31205,37056,43.25,26
Jul-01,29544,46543,44.56,25
Aug-01,66135,210683,48.58,24
Sep-01,91201,297087,44.18,24
Oct-01,97670,296462,51.19,27
Nov-01,67212,196246,50.73,20
Dec-01,33400,79482,45,13
Jan-02,55458,155477,47.93,19
Feb-02,72577,197872,49.2,24
Mar-02,54986,144263,53.94,19
Apr-02,74012,188481,55.35,26
May-02,35601,59915,47.39,22
Jun-02,29235,34876,38.88,25
Jul-02,28310,37658,40.64,26
Aug-02,65403,206980,46.12,24
Sep-02,80543,300294,43.84,24
Oct-02,92015,305243,47.54,27
Nov-02,57609,170109,50.55,18
Dec-02,28364,74725,43.27,12
Jan-03,56370,168485,42.59,20
Feb-03,71788,189286,41.4,23
Mar-03,58078,159147,41.86,19
Apr-03,79395,186717,42.52,25
May-03,32813,50076,40.06,22
Jun-03,28367,32771,35.46,25
Jul-03,27370,32957,37.78,26
Aug-03,67785,244431,62.41,24
Sep-03,94810,359383,47.31,25
Oct-03,93387,336929,47.47,27
Nov-03,64334,207294,42.83,19
Dec-03,33174,88669,44.96,12
Jan-04,65348,189875,42.4,21
Feb-04,76501,240703,40.73,24
Mar-04,71992,199450,37.35,20
Apr-04,73498,210171,42.66,25
May-04,24717,37761,45.56,16
Jun-04,31506,42605,42.15,26
Jul-04,29429,35563,42.15,26
Aug-04,48218,184152,41.19,21
Sep-04,107435,393217,38.72,25
Oct-04,87884,316757,39.54,26
Nov-04,64241,224917,34.54,18
Dec-04,44896,124424,234.48,17
Jan-05,57147,180680,33.06,22
Feb-05,70987,218106,32.94,24
Mar-05,55777,171285,30.56,19
Apr-05,72464,206781,37.89,26
May-05,22805,35880,39.41,16
Jun-05,29580,30958,38.1,26
Jul-05,27007,36556,42.24,25
Aug-05,61544,213404,46.57,25
Sep-05,110154,389512,44.04,25
Oct-05,98716,333429,36.01,26
Nov-05,64687,236715,31.57,20
Dec-05,40944,112699,32.05,16
Jan-06,73829,231332,34.66,23
Feb-06,87010,244786,35.52,24
Mar-06,66056,191060,38.48,20
Apr-06,71463,193880,42.11,24
May-06,25069,37922,44.46,16
Jun-06,29580,33048,42.7,26
Jul-06,27038,29588,43.18,25
Aug-06,73146,241330,47.14,26
Sep-06,109786,400024,43.74,25
Oct-06,105821.9,360570,40,26
Nov-06,71513,235552,39.34,19
Dec-06,44705,122607,39.55,14
Jan-07,81111.6,244467,39.23,25
Feb-07,79036,229265,41.92,24
Mar-07,62302,179584,34.27,20
Apr-07,74112.8,205609,35.97,25
May-07,22595,34241,32.68,14
Jun-07,28816,32739,31.43,26
Jul-07,27692,35186,42.42,25
Aug-07,74245,254830,39.9,25
Sep-07,96930,353953,35.05,24
Oct-07,111441,365945,39.21,27
Nov-07,75283,241293,50.11,20
Dec-07,40954,106178,41.65,14
Jan-08,65240,186668,42.98,19
Feb-08,86932,233026,46.18,25
Mar-08,63155,174065,47.87,18
Apr-08,98474,249420,47.32,27
May-08,28892,55526,43.29,14
Jun-08,28503,37191,38.31,25
Jul-08,29635,38392,48.33,26
Aug-08,75775,286623,49.22,23
Sep-08,120036,417131,42.49,25
Oct-08,127123,409724,44.76,27
Nov-08,68506,216133,44.85,17
Dec-08,42836,112099,42.91,13
Jan-09,68978.3,208078,45.42,22
Feb-09,81548,258283,40.79,24
Mar-09,65744,200814,43.07,19
Apr-09,114274,237284,41.06,25
May-09,19808,38207,37.12,8
Jun-09,0,0,0,0
Jul-09,0,0,0,0
Aug-09,40057,174150,41.44,13
Sep-09,108132,407297,39.54,26
Oct-09,109170,369829,41.92,27
Nov-09,74048,236360,42.73,19
Dec-09,53.664,152093,36.93,17
Jan-10,63407,207917,42.83,21
Feb-10,73168,264355,34.5,23
Mar-10,77039,255753,34.45,23
Apr-10,75823,242123,36.55,23
May-10,23483,45770,33.97,19
Jun-10,30187,39845,40.93,26
Jul-10,27434,34822,32.18,25
Aug-10,51572,187507,30.15,19
Sep-10,99175,371822,32.85,25
Oct-10,104348,357839,33.51,27
Nov-10,72265,224483,30.46,18
Dec-10,51679,132209,30.72,17
Jan-11,67546,195640,31.21,23
Feb-11,86314.6,238006,30.23,24
Mar-11,66924.7,200908,30.23,20
Apr-11,77076,219246,35.74,24
May-11,28755,46894,29.77,19
Jun-11,29498.9,36561,36.95,26
Jul-11,31805.5,37227,36.71,25
Aug-11,64736,214461,33.48,20
Sep-11,112469.2,403313,32.04,26
Oct-11,133330.1,334120,29.15,26
Nov-11,79268.1,258590,35.33,21
Dec-11,46210.5,122753,33.69,15
Jan-12,68372.2,223012,34.3,22
Feb-12,87054.4,256658,42.11,24
Mar-12,69088.4,197962,42.61,20
Apr-12,79441.92,222675,41.89,24
May-12,18195.6,28914,42.5,8
Jun-12,30035.6,31990,40.27,26
Jul-12,32583,48622,40.54,25
Aug-12,78692,241760,37.88,26
Sep-12,106059.4,359866,39.01,24
